ssid;phase;retweetCount;likeCount;replyCount;content;sentiment
0;1;0;0;1;"“ ""Nessun essere umano indifferente al cibo è degno di fiducia."" Manuel Vázquez Montalbán)” @farinatommaso @marcogatti23 @Massolon";0.0
0;3;2;0;0;" says,  if gays don't like it then they will not eat it and they will eat another brand,""
#DontEatBarilla  #BoycottBarrilla";0.0
0;3;0;0;0; Pasta wants to keep women chained to the kitchen stove!  #BoycottBarrilla;0.25
0;3;0;0;0; BOYCOTT Homophobic Barilla pasta!;0.0
0;3;0;0;0; da ieri sono diventato un cliente Barilla #iostoconbarilla;0.0
0;3;0;0;0; It is simple, Guido must go. No apology can erase the truth of what is in his heart. No other action will suffice.;0.05416666666666667
0;3;0;0;0; Non cedete ai ricatti ambientalisti. Ribellatevi.;0.0
0;3;0;0;0; @BarillaUS Stand your ground , if that's how you feel then that's how you feel. One can not be mad if that's what you believe.;-0.625
0;3;0;0;0; i threw all barillas to thrash. Will never ever buy barilla ,homophobics.;0.0
0;3;0;0;0; you have a rt to say what u want.  I have a rt not to support u w my dollars.  #equality;0.0
0;3;0;0;0; Hanno strumentalizzato un libero pensiero,Barilla ha grande passato è brillante presente,migliaia di lavoratori.ad maiora semper.;0.0
0;3;0;0;0; si faccia sentire più spesso, abbiamo bisogno di persone come lei. A me solo Spaghetti n. 5. Grazie;0.0
0;3;0;0;0; @MpMau non avevo dubbi,ma hanno voluto strumentalizzare,per me lei resta un gran signore per il lavoro che da a tantefamiglie BRAVO;0.0
0;3;0;0;0; no alla pasta gaia: una pennetta e' una pennetta e una farfalla e' una farfalla! Avanti tutta #GuidoBarilla siamo con te!;0.0
0;3;0;1;0; Complimenti,bravo,mangio solo barilla!!!!;0.0
0;3;0;0;0; la scusa è l'errore, non far che il tuo pensiero venga stuprato dal politically correct!;0.05
0;3;0;0;0; Capita di urtare sensibilità altrui pur senza mancare di rispetto. Cmq complimenti per il gesto delle scuse, gesto diventato raro..;0.0
0;3;0;0;0; una pessima figura mondiale. Come scavarsi la fossa da soli. Vergognatevi #boicottabarilla;0.0
0;3;0;0;0; @MpMau un gran Signore, non c'è che dire. Oggigiorno la maggior parte delle persone troppo arroganti per scusarsi. Bravo!;0.0
0;3;0;1;0; Chi, in azienda, ha consigliato Guido Barilla a fare questo messaggio.. non ha capito un cazzo di tutta la vicenda.;0.0
0;3;0;0;0; bye bye. Never using your product again. And I am only gay. Shame on you for saying that. Shame shame!;0.2604166666666667
0;3;0;0;0; @BarillaUS #GoodbyeAdiosSayōnaraAdieuxCIAOBARILLA  #GMO pasta, never much liked your pasta anyway. Good riddance #CIAOBARILLA;0.19999999999999998
0;3;0;0;0; @Taty077Tati peccato che certe persone non abbiamo altrettanto rispetto. Uno e' libero di pensarla come crede.;0.0
0;3;0;0;0; Well I have no respect for subpar,nasty pasta...but you're allowed to still exist, so chill out on the gays! #nasty #pastamouth;-1.0
0;3;0;0;0; @MpMau Non scusarti! Porta avanti il tuo pensiero.;0.0
0;3;3;2;0; @Taty077Tati solidarietà a Barilla!! http://t.co/sQcZyNZIhj;0.0
0;3;0;0;0; Sì, trattare con rispetto gli omosessuali e pregare per lui. Equiparare l'unione omosessuale con la famiglia, no. Combattere sempre;0.0
0;3;0;0;0; Avete perso un cliente. Non c'è bisogno di essere gay per rifiutare agli omofobi e ai nemici dei diritti umani #boicottabarilla;0.4166666666666667
0;3;0;0;0; @BarillaUS  Your pasta sucks anyway.;-0.3
0;3;0;0;0; Guido, tu non hai parlato niente di male. _ Sbagliato è equiparare le unioni omosessuali con la famiglia. Nulla di cui scusarsi!!!!;0.0
0;3;0;0;0; Mai Più #BoicotBarilla;0.0
0;3;0;0;0; posso venire a fare uno spot insieme a mia moglie? è un dobermann, oppure non accettate le coppie zoofile?;0.0
0;3;0;0;0;" #Barilla @ThePansyProject response to Barilla Homophobia!.... ""Barilla, exclusively heterosexual""... PLS RT http://t.co/2tcg4YHp5H";0.0
0;3;1;0;1; @Giacinto_Bruno Basta scuse .,tutti possiamo sbagliare..perfido perseverare .Saluti @petruzzecorrado;0.0
0;3;0;0;0; I will no longer buy barilla;0.0
0;3;0;0;0; disappointed 😒 #boycottbarilla;-0.75
0;3;0;0;0; Pasta competitors hitting back with humor. And why I'll never look at a bowl of penne in the same way again. http://t.co/pQp18tbe6C;0.0
0;3;1;1;0; BOYCOTT Barilla. #boycottbarilla #BarillaBoycott #boycott #homophobic #barillahomophobic u've just lost a 10yr exclusive buyer.;0.0
0;3;0;0;0; I think that gay activist just did you a favor - we're all stocking up,lol.;0.4166666666666667
0;3;0;0;0;" Già che ci sono ""la famigliola fasulla del vostro mulino bianco"" somiglia a ""E vissero tutti felici e contenti"". Basta favole... !";0.0
0;3;0;0;0; Brazil #boicota-barilla;0.0
0;3;0;0;0; Il marketing andrebbe fatto in modo migliore. Intanto state facendo parlare di voi strumentalizzando la gente... no comment!;0.0
0;3;0;0;0;" HoSempreCompratoPASTAin""offerta""XlaMiaNumerosaFamigliaCon figliAnkeInAffido.D'ora inAvanti:inTAVOLA SOLO PASTA BARILLA !";0.0
0;3;0;0;0; te prego, chiedi scusa anche perché manco i manifesti sul muro tiene incollati bene la vostra pasta;0.0
0;3;1;0;1; @gioicaro ok .... abbasa il prezzo dei rigatoni e chiudiamo un okkio ....;0.5
0;3;0;0;0; Mi scuso molto per gettare la Barilla a la toilette;0.0
0;3;0;0;0; Lei mi era indifferente. Ora mi irrita, moltissimo. Se doveva far parlare della sua holding aveva molte altre soluzioni.;0.1
0;3;0;0;0;" 
Gestite la più grande azienda di pasta nel mondo,poi potrete decidere che tipo di marketing fare con il vostro marchio.
Perbenisti";0.0
